0,127843404;0,131096291;8,70E-06;0,779435989;0,149382655;0,066796741;0,139543007;0,256953225;0,000433031;0,840938068;0,142504715;0,087644559;0,136601579;0,096387477;0,001277626;1,062267248;0,155834451;0,077330552;0,12213778;0,17513585;0,001470353;0,722675294;0,128867067;0,073115009;0,121400219;0,192677723;0,001030178;0,66136596;0,128734696;0,07152629;0,122309262;0,03265287;0,000164882;0,888215063;0,136056683;0,078865304
0,135671634;0,25219021;8,21E-07;1,067606775;0,157367188;0,079287091;0,131378638;0,227989769;3,93E-06;1,132468347;0,167175457;0,068376041;0,120811532;0,229387493;0,00300943;0,81276789;0,125886565;0,075610724;0,132157464;0,062773876;4,22E-06;0,781397875;0,150642063;0,072366744;0,121616624;0,039844677;1,26E-06;0,762630511;0,133497621;0,073610563;0,112035842;0,06754673;2,19E-06;0,704958196;0,124341177;0,066748586
0,131510559;0,242491925;1,23E-05;0,847222807;0,143550369;0,080003753;0,133930338;0,229274682;0,002113452;0,911887455;0,149770857;0,076726824;0,125019191;0,258415067;3,13E-06;0,702965495;0,138604411;0,069085694;0,136206096;0,18046481;4,76E-06;1,245187546;0,163962482;0,075375473;0,116843294;0,124667133;3,68E-06;0,711237306;0,128071768;0,072985348;0,148525674;0,321568516;6,72E-06;0,860891694;0,138977366;0,108855608
0,132498232;0,02051712;1,99E-05;0,830823013;0,153632912;0,079192461;0,126493023;0,431167674;6,56E-06;1,028297119;0,154812746;0,071921265;0,116800177;0,132231813;9,22E-06;0,772288558;0,12698831;0,072834324;0,141508668;0,134440739;1,04E-06;1,104021897;0,156488941;0,086045229;0,1139676;0,121862746;4,47E-06;0,702688028;0,118327005;0,074026251;0,126408445;0,098157135;4,52E-06;0,845930064;0,145173479;0,070480316
0,136295805;0,114078373;2,46E-06;1,01358287;0,162409651;0,06883335;0,116035702;0,230654998;1,57E-06;0,796073538;0,122978731;0,073811483;0,117026745;0,298310661;1,04E-06;0,780311442;0,138666724;0,066318891;0,115154076;0,141230253;1,36E-06;0,752928632;0,127726625;0,066677536;0,131787443;0,111805408;0,000677875;0,77948594;0,12363338;0,082520724;0,11275404;0,136103502;0,00160304;0,645694779;0,117366607;0,071011668
0,13866315;0,281346327;0,001589727;0,69850015;0,12382303;0,098592891;0,153424073;0,008803975;0,006426973;1,152762446;0,164232697;0,089348392;0,138531925;0,154255081;0,00481622;0,779919491;0,12802581;0,093378127;0,133803925;0,338626525;4,39E-06;0,858004157;0,153221348;0,075520683;0,109579222;0,119332846;0,00251685;0,752827856;0,114890578;0,061448944;0,172129302;0,233716045;0,001015967;1,110784625;0,172756295;0,107181461
0,168103752;0,152394524;0,002475351;0,942638335;0,14975618;0,112693046;0,181203035;0,252449662;0,006660886;0,928306626;0,166212425;0,1233453;0,105233328;0,223049003;4,65E-06;0,655790681;0,120700268;0,05997589;0,117863202;0,024892504;0,001006483;0,664801426;0,131693246;0,067130458;0,153819566;0,090150823;0,002495152;0,940799312;0,143362926;0,102383096;0,123633811;0,093236065;0,005899385;0,832280982;0,127167299;0,078212394
0,21007344;0,303898923;0,002215763;1,092626003;0,212836089;0,142892068;0,148880422;0,214001057;0,00224108;0,831170289;0,146918613;0,096902402;0,131125674;0,332610083;7,43E-06;0,801930212;0,153109864;0,074119483;0,131891204;0,220807382;3,84E-06;0,866113604;0,152835768;0,070987131;0,111081958;0,099064263;2,29E-06;0,634584553;0,115146144;0,069631242;0,116292055;0,046125941;0,002553775;0,631339138;0,126121835;0,065279572
0,15336888;0,105932527;0,003319677;0,873095786;0,152190124;0,097515149;0,129668011;0,359190666;0,000732325;0,851537045;0,143122781;0,080218105;0,122388675;0,094993369;0,000646978;0,63520628;0,116461507;0,080450077;0,126617949;0,06612453;0,00244752;0,973593163;0,134050391;0,074188843;0,123284664;0,04951314;2,25E-06;0,937995914;0,132759849;0,077876511;0,120437536;0,127792426;0,001993831;0,718371678;0,114261412;0,082029073
0,149511182;0,076840949;0,003084052;0,896322091;0,155964586;0,099684171;0,129206949;0,150621071;1,15E-05;0,703147767;0,143494695;0,075621892;0,113762133;0,214223382;8,37E-06;0,911290391;0,137873614;0,06129411;0,128204495;0,1235317;4,06E-06;0,865805361;0,137682307;0,078955313;0,126426275;0,090198874;0,000140661;0,930829001;0,141217719;0,076107411;0,11949052;0,140933195;1,98E-06;0,777338945;0,138390035;0,063118048
0,142264009;0,132127271;0,000440074;1,144881266;0,159533395;0,09012905;0,148696805;0,092036239;2,01E-08;1,300045497;0,189564093;0,078690191;0,085852829;0,02073452;0,000424563;0,65445917;0,096493837;0,051392144;0,110874175;0,035933529;5,89E-08;0,599597492;0,115269519;0,068433764;0,129248591;0,003618207;2,43E-06;1,160360727;0,15671642;0,069651364;0,103517789;0,278221097;2,20E-06;0,635395772;0,107221615;0,067078969
0,137746502;0,105033158;3,92E-05;1,157155811;0,161378706;0,084355886;0,147969164;1,12E-06;1,12E-06;1,066340639;0,174271121;0,096136489;0,113345726;0,150665642;8,43E-07;0,679058944;0,133437288;0,059552394;0,130587228;0,19495752;3,12E-06;0,976381678;0,143973709;0,075262582;0,131786064;0,006441813;4,48E-08;0,835289241;0,144129037;0,084754808;0,129860193;0,165128416;3,30E-07;0,928027099;0,152697765;0,07105322
0,153425132;0,082938701;2,21E-07;1,064346554;0,180033887;0,090353946;0,156746655;0,245329768;7,91E-07;1,090065581;0,167450047;0,107874284;0,098757747;0,183749357;9,28E-07;0,549858326;0,105534509;0,058890848;0,123432881;0,302958725;4,91E-06;0,76768683;0,130626786;0,081131653;0,137945795;0,172727868;1,84E-07;1,087917081;0,160759138;0,085184236;0,119078911;0,349105837;1,38E-06;0,802772758;0,126836611;0,072592988
0,537285846;0,228394344;1,22E-05;3,161443986;0,611637388;0,255140762;0,397097529;0,124921361;0,004950093;2,127798938;0,397606849;0,232656301;0,519212999;0,645096559;0,012792107;2,849342284;0,555426219;0,303903912;0,630199141;0,9515859;6,06E-06;3,291520243;0,564811371;0,438792525;0,416561548;0,867897572;8,27E-06;1,762807168;0,385944516;0,300485961;0,911021798;1,941704095;0,056911465;3,615455685;0,71235434;0,693690616
0,119631256;0,324165957;4,69E-07;0,916829649;0,150773346;0,058699503;0,145708731;0,071264836;0,000327484;2,060844026;0,202480841;0,089954101;0,122391771;0,055700014;7,47E-09;0,682912803;0,138667817;0,069763078;0,126515508;0,041866618;2,07E-05;0,747904619;0,146185054;0,065617429;0,130899667;0,09492178;1,02E-06;0,847135579;0,142997788;0,088088049;0,115244383;0,188429971;2,24E-06;0,862540195;0,134609803;0,064684932
0,20845289;0,127791964;0,008130376;0,931209061;0,155471529;0,160643847;0,34588247;0,225457296;0,006571264;1,733608496;0,295477057;0,265956545;0,129766066;0,062625045;0,004567921;0,71443408;0,129039766;0,079103326;0,127710939;0,161805881;0,008044069;0,828095804;0,122408699;0,0876977;0,174128816;0,273299309;6,09E-06;1,354172261;0,191012727;0,100661692;0,134398003;0,098154989;0,004687054;0,678708624;0,111776829;0,094021706
0,153664822;0,041145542;0,001405883;0,994273564;0,159060734;0,094438636;0,154308867;0,328304607;2,85E-06;0,964697252;0,161544337;0,09866572;0,169515097;0,135642738;0,004923889;0,766878404;0,133964328;0,128508767;0,161959091;0,070809077;0,001789629;1,075002473;0,156376032;0,106520462;0,147051434;0,065794815;2,35E-06;1,111980938;0,157114266;0,097006106;0,156418324;0,169700631;0,0029526;1,084885631;0,143102246;0,108599885
0,166793215;0,146132919;0,003979414;1,306029407;0,168573827;0,108753473;0,171055703;0,18865104;6,88E-07;1,122727798;0,190243478;0,095396217;0,118951601;0,062114052;0,003469685;0,773177914;0,117063498;0,080077194;0,125072282;0,04623572;0,000292036;0,917585862;0,130883769;0,076703012;0,131681608;0,098813598;5,20E-07;0,968094599;0,157102222;0,079859539;0,122217436;0,026221242;8,41E-07;0,836381009;0,137732755;0,079669125
0,180081541;0,138019536;0,004569901;1,040321801;0,168629077;0,121454607;1,351184696;1,329689628;0,042801784;7,633119137;1,281223654;0,880807792;0,161612538;0,026093085;0,003011679;0,859318574;0,154424325;0,10557905;0,407890369;0,828666209;0,002571459;3,026012935;0,481457951;0,223072733;0,153243242;0,20111103;0,003439509;0,978308364;0,140324407;0,112551837;0,764056565;0,494268098;1,55E-07;3,687112686;0,732709774;0,570095904
0,124293424;0,056135034;0,001270382;0,914226086;0,139223215;0,077656144;0,159104659;0,178314421;0,004933657;1,096054941;0,154797411;0,10653772;0,119821706;0,135577362;0,003489429;0,697037388;0,107291418;0,087030543;0,208729303;0,41055842;8,70E-06;1,498507175;0,267995089;0,106804378;0,138548239;0,063159757;0,011662874;0,699326236;0,114345383;0,101287079;0,126304909;0,179655711;0,005241605;0,724287975;0,128343684;0,074030725
0,142649998;0,162238782;8,10E-07;1,065213994;0,180003826;0,079762251;0,124970843;0,200272381;2,27E-07;0,857702367;0,139162773;0,074278157;0,162083329;0,050308246;7,07E-07;1,30315637;0,208145729;0,080515746;0,16455147;0,088872381;4,22E-07;1,004296238;0,183940365;0,091800435;0,211007491;0,024366631;1,46E-06;1,259596651;0,238674581;0,118371368;0,180767361;0,28964021;3,44E-07;1,149574078;0,198618063;0,109601255
0,127255616;0,192853751;3,13E-06;1,183368131;0,15268703;0,075349028;0,325185348;0,630042782;3,11E-05;1,425831464;0,310362301;0,208619856;0,14629841;0,133567817;4,69E-06;1,214468788;0,179365468;0,079838228;0,227393994;0,324295851;6,61E-06;1,266208321;0,220881629;0,149618323;0,137903829;0,139082161;1,50E-06;1,269455237;0,166242722;0,078809102;0,200702966;0,095915157;1,48E-05;1,392271267;0,234963459;0,112686002
0,240030177;0,740374073;8,14E-06;1,429242647;0,269075454;0,14285723;0,415531153;0,138255937;4,46E-05;3,01613856;0,514518169;0,203845729;0,70868913;1,219567876;3,02E-05;3,934119201;0,766758917;0,363666857;0,230549996;0,072169131;2,21E-06;1,848235036;0,273052551;0,120229098;0,145101915;0,094883857;1,74E-05;0,910086151;0,148556683;0,09918667;0,790049818;0,27983491;7,99E-05;4,182231266;0,799311785;0,449130597
0,286469146;0,552229791;3,73E-06;1,736382765;0,318893935;0,177425592;0,230223364;0,25317654;2,08E-06;1,791925379;0,24368558;0,146412307;0,662597326;0,0715259;1,07E-05;4,451735208;0,74990649;0,374002746;1,026088836;0,611059211;4,51E-05;6,277660308;1,274543802;0,408495415;0,216792946;0,340191391;1,95E-06;1,570886825;0,244225717;0,125084306;1,084295283;2,013963866;8,42E-06;5,858904252;1,097582499;0,719335697
0,135998477;0,148642388;3,69E-06;0,774364213;0,154536752;0,082060222;0,121047967;0,124090065;0,000558578;0,631382214;0,126039309;0,073148442;0,135331375;0,085449474;2,09E-07;0,869809222;0,159606523;0,07920074;0,114357024;0,081419351;2,37E-06;0,832251211;0,126050047;0,071923459;0,142313673;0,098640766;7,69E-08;1,020953318;0,176119717;0,070029095;0,095245635;0,066512107;0,000170394;0,693167808;0,095976572;0,063916902
0,137555255;0,062702954;0,002435617;0,81651632;0,12330972;0,09660643;0,118877741;0,079843325;8,38E-05;0,736891754;0,124524507;0,079488701;0,130649127;0,093630605;1,51E-07;0,892282033;0,159424864;0,074441506;0,130293601;0,192585583;0,001578793;0,62852955;0,104016093;0,093483645;0,154834599;0,091758515;0,003771543;1,002080978;0,146823399;0,099032613;0,13107091;0,026990072;0,00145283;0,828152204;0,128957299;0,082254127
